Date / Time;Mode;Category;Sub category;Income/Expense;Debit/Credit
Sabtu, 03 April 2021;CUB - online payment;Other;To lended people;Expense;300
Senin, 19 April 2021;CUB - online payment;Transportation;Took from sbi;Expense;200
Senin, 19 April 2021;CUB - online payment;Food;Ramen with gobi;Expense;380
Rabu, 21 April 2021;CUB - online payment;Salary;office;Income;55000
Kamis, 22 April 2021;CUB - online payment;Household;Stuffs;Expense;5180
Kamis, 22 April 2021;CUB - online payment;Food;Shawarma;Expense;80
Minggu, 25 April 2021;CUB - online payment;Transportation;Cab;Expense;306
Sabtu, 01 Mei 2021;CUB - online payment;Food;Lunch with company;Expense;388
Sabtu, 01 Mei 2021;CUB - online payment;Transportation;Refund for bus ticket;Expense;600
Sabtu, 01 Mei 2021;CUB - online payment;Other;To abijith and to vicky lend money returned;Expense;500
Sabtu, 01 Mei 2021;CUB - online payment;Other;To gobi 1st 1/4th;Expense;500
Sabtu, 01 Mei 2021;CUB - online payment;Other;Lended money returned to kumara;Expense;30
Sabtu, 01 Mei 2021;CUB - online payment;Food;Jan 2nd with shakur and barath;Expense;354
Sabtu, 01 Mei 2021;CUB - online payment;Other;Lended money returned to vishnu;Expense;40
Selasa, 18 Mei 2021;CUB - online payment;apparel;Spiderman ;Expense;1363,72
Jumat, 21 Mei 2021;CUB - online payment;salary;office;Income;55000
Sabtu, 22 Mei 2021;CUB - online payment;Household;Stuffs;Expense;5120
Senin, 31 Mei 2021;CUB - online payment;Transportation;Vnr to apk;Expense;50
Selasa, 01 Juni 2021;CUB - online payment;Transportation;Rapido to pg;Expense;429
Selasa, 01 Juni 2021;CUB - online payment;Food;Bingo;Expense;10
Selasa, 01 Juni 2021;CUB - online payment;Food;Dinner with roommate;Expense;877,81
Selasa, 01 Juni 2021;CUB - online payment;Food;Ketch up;Expense;200
Selasa, 01 Juni 2021;CUB - online payment;Other;From barath and shakur;Income;440
Rabu, 02 Juni 2021;CUB - online payment;Other;To gobi;Expense;4500
Rabu, 02 Juni 2021;CUB - online payment;Transportation;To chennai;Expense;1000
Rabu, 02 Juni 2021;CUB - online payment;Food;To kumara;Expense;150
Rabu, 02 Juni 2021;CUB - online payment;Food;Cakepark;Expense;125
Rabu, 02 Juni 2021;CUB - online payment;Food;Dinner with aravind and buddies;Expense;491
Senin, 14 Juni 2021;CUB - online payment;Food;Snacks;Expense;749
Selasa, 22 Juni 2021;CUB - online payment;Household;Stuffs;Expense;4120
Selasa, 22 Juni 2021;CUB - online payment;salary;office;Income;55000
Kamis, 01 Juli 2021;CUB - online payment;Food;Coffee + biscuit;Expense;1599
Jumat, 02 Juli 2021;CUB - online payment;Transportation;Auto to Gobi's place;Expense;214
Minggu, 18 Juli 2021;CUB - online payment;Other;To kumara;Expense;200
Kamis, 22 Juli 2021;CUB - online payment;Household;Stuffs;Expense;4620
Jumat, 23 Juli 2021;CUB - online payment;Food;Lunch;Expense;302
Sabtu, 24 Juli 2021;CUB - online payment;apparel;Beer;Expense;1500
Minggu, 25 Juli 2021;CUB - online payment;Food;Kfc date with myself;Expense;259
Senin, 26 Juli 2021;CUB - online payment;salary;office;Income;55000
Selasa, 27 Juli 2021;CUB - online payment;Other;From vicky;Income;300
Minggu, 01 Agustus 2021;CUB - online payment;Household;Rent;Expense;4580
Minggu, 01 Agustus 2021;CUB - online payment;Food;Lunch with gowdham;Expense;535,3
Minggu, 01 Agustus 2021;CUB - online payment;Other;From gowdham;Income;260
Senin, 02 Agustus 2021;CUB - online payment;salary;office;Income;55000
Senin, 02 Agustus 2021;CUB - online payment;Other;From dad;Income;500
Selasa, 17 Agustus 2021;CUB - online payment;Other;Gave to gowdham;Expense;50
Sabtu, 21 Agustus 2021;CUB - online payment;Transportation;Travel to koyambedu;Expense;138
Selasa, 24 Agustus 2021;CUB - online payment;Food;Tamen;Expense;324,7
